CustomerID,CustomerName,Age,Gender,City,PurchaseDate,PurchaseTime,ProductCategory,ProductName,Quantity,UnitPrice(INR),TotalAmount(INR),PaymentMethod,Rating
CUST00001,Manish Verma,65,Female,Ahmedabad,2025-07-12,10:37,Groceries,Wheat Flour 10kg,6,457.37,2744.22,Cash,1
CUST00002,Sneha Patel,31,Male,Vadodara,2025-12-19,17:26,Home & Kitchen,Table Lamp,2,5770.75,11541.5,Debit Card,5
CUST00003,Shalini Sharma,28,Female,Surat,2025-01-24,10:22,Electronics,Laptop,3,5317.69,15953.07,UPI,4
CUST00004,Anjali Kulkarni,52,Male,Nagpur,2025-01-05,18:12,Groceries,Toor Dal 1kg,6,390.19,2341.14,Walmart Gift Card,2
CUST00005,Anjali Rao,36,Male,Ahmedabad,2025-01-08,11:23,Toys & Baby,Board Game,3,1868.3,5604.9,UPI,4
CUST00006,Varun Kumar,56,Male,Ludhiana,2025-10-17,20:35,Personal Care,Face Wash,4,378.74,1514.96,Debit Card,5
CUST00007,Neha Rao,20,Female,Nagpur,2024-11-18,12:41,Electronics,Laptop,5,39535.45,197677.25,Cash,5
CUST00008,Vishal Iyer,34,Male,Ahmedabad,2025-03-14,18:25,Personal Care,Soap Bar Pack,3,687.49,2062.47,UPI,4
CUST00009,Meera Nagar,49,Male,Delhi,2025-11-27,15:38,Toys & Baby,Toy Car,6,723.93,4343.58,Credit Card,5
CUST00010,Rakesh Thakur,47,Female,Ludhiana,2025-11-29,17:48,Toys & Baby,Baby Diapers Pack,6,2910.82,17464.92,UPI,5
CUST00011,Manish Bhatt,45,Male,Bhopal,2025-06-03,10:55,Groceries,Toor Dal 1kg,5,469.08,2345.4,Walmart Gift Card,4
CUST00012,Rajendra Thakur,30,Male,Kanpur,2025-09-05,14:31,Personal Care,Soap Bar Pack,5,831.53,4157.65,Credit Card,2
